Azulejo-Código,Procedência,Fábrica,Dimensão-Formato,"Material, Técnica de Fabricação e Decorativa",Endereço,Bairro,Uso-Aplicação,Altura,Largura,latitude,longitude
Azulejo-PE 1-1-1,Lisboa/Portugal,"Viúva Lamego-Constância (Consta do Catalogo de J. Lino de 1889). 
Apelido: Ferradura","13,4 x 13,4cm",Cerâmica e vidrado Estampilha,"Rua Gaspar Viana n 157, Belém, Pará, Brasil",Cidade Velha/Campina,"Revestimento de fachada, assentados por compressão contra argamassa fresca.",13.4,13.4,-1.4465048,-48.4949554
Azulejo-PE 1-1-1,Lisboa/Portugal,"Viúva Lamego-Constância (Consta do Catalogo de J. Lino de 1889). 
Apelido: Ferradura","13,4 x 13,4cm",Cerâmica e vidrado Estampilha,"Rua Gaspar Viana n 165, Belém, Pará, Brasil",Cidade Velha/Campina,"Revestimento de fachada, assentados por compressão contra argamassa fresca.",13.4,13.4,-1.4465048,-48.4949554
Azulejo-PE 1-1-1,Lisboa/Portugal,"Viúva Lamego-Constância (Consta do Catalogo de J. Lino de 1889). 
Apelido: Ferradura","13,4 x 13,4cm",Cerâmica e vidrado Estampilha,"Rua Gaspar Viana n 169, Belém, Pará, Brasil",Cidade Velha/Campina,"Revestimento de fachada, assentados por compressão contra argamassa fresca.",13.4,13.4,-1.4465048,-48.4949554
Azulejo-PE 1-1-1,Lisboa/Portugal,"Viúva Lamego-Constância (Consta do Catalogo de J. Lino de 1889). 
Apelido: Ferradura","13,4 x 13,4cm",Cerâmica e vidrado Estampilha,"Rua 15 de Novembro n 30, Belém, Pará, Brasil",Cidade Velha/Campina,"Revestimento de fachada, assentados por compressão contra argamassa fresca.",13.4,13.4,-1.1615771,-48.4688459
Azulejo-PE 1-1-1,Lisboa/Portugal,"Viúva Lamego-Constância (Consta do Catalogo de J. Lino de 1889). 
Apelido: Ferradura","13,4 x 13,4cm",Cerâmica e vidrado Estampilha,"Rua 15 de Novembro n 32, Belém, Pará, Brasil",Cidade Velha/Campina,"Revestimento de fachada, assentados por compressão contra argamassa fresca.",13.4,13.4,-1.1615771,-48.4688459
Azulejo-PE 1-1-1,Lisboa/Portugal,"Viúva Lamego-Constância (Consta do Catalogo de J. Lino de 1889). 
Apelido: Ferradura","13,4 x 13,4cm",Cerâmica e vidrado Estampilha,"Rua 15 de Novembro n 34, Belém, Pará, Brasil",Cidade Velha/Campina,"Revestimento de fachada, assentados por compressão contra argamassa fresca.",13.4,13.4,-1.1615771,-48.4688459
Azulejo-PE 1-1-1,Lisboa/Portugal,"Viúva Lamego-Constância (Consta do Catalogo de J. Lino de 1889). 
Apelido: Ferradura","13,4 x 13,4cm",Cerâmica e vidrado Estampilha,"Rua 15 de Novembro n 36, Belém, Pará, Brasil",Cidade Velha/Campina,"Revestimento de fachada, assentados por compressão contra argamassa fresca.",13.4,13.4,-1.1615771,-48.4688459
Azulejo-PE 1-1-1,Lisboa/Portugal,"Viúva Lamego-Constância (Consta do Catalogo de J. Lino de 1889). 
Apelido: Ferradura","13,4 x 13,4cm",Cerâmica e vidrado Estampilha,"Avenida Castilhos França n 346, Belém, Pará, Brasil",Cidade Velha/Campina,"Revestimento de fachada, assentados por compressão contra argamassa fresca.",13.4,13.4,-1.451593,-48.5025963
Azulejo-PE 1-1-1,Lisboa/Portugal,"Viúva Lamego-Constância (Consta do Catalogo de J. Lino de 1889). 
Apelido: Ferradura","13,4 x 13,4cm",Cerâmica e vidrado Estampilha,"Rua Gaspar Viana n 80, Belém, Pará, Brasil",Cidade Velha/Campina,"Revestimento de fachada, assentados por compressão contra argamassa fresca.",13.4,13.4,-1.4465048,-48.4949554
Azulejo-PE 1-1-1,Lisboa/Portugal,"Viúva Lamego-Constância (Consta do Catalogo de J. Lino de 1889). 
Apelido: Ferradura","13,4 x 13,4cm",Cerâmica e vidrado Estampilha,"Rua Gaspar Viana n 84, Belém, Pará, Brasil",Cidade Velha/Campina,"Revestimento de fachada, assentados por compressão contra argamassa fresca.",13.4,13.4,-1.4465048,-48.4949554
Azulejo-PE 1-1-1,Lisboa/Portugal,"Viúva Lamego-Constância (Consta do Catalogo de J. Lino de 1889). 
Apelido: Ferradura","13,4 x 13,4cm",Cerâmica e vidrado Estampilha,"Rua Gaspar Viana n 88, Belém, Pará, Brasil",Cidade Velha/Campina,"Revestimento de fachada, assentados por compressão contra argamassa fresca.",13.4,13.4,-1.4465048,-48.4949554
Azulejo-PE 1-1-1,Lisboa/Portugal,"Viúva Lamego-Constância (Consta do Catalogo de J. Lino de 1889). 
Apelido: Ferradura","13,4 x 13,4cm",Cerâmica e vidrado Estampilha,"Rua Gaspar Viana n 96, Belém, Pará, Brasil",Cidade Velha/Campina,"Revestimento de fachada, assentados por compressão contra argamassa fresca.",13.4,13.4,-1.4465048,-48.4949554
Azulejo-PE 1-1-1,Lisboa/Portugal,"Viúva Lamego-Constância (Consta do Catalogo de J. Lino de 1889). 
Apelido: Ferradura","13,4 x 13,4cm",Cerâmica e vidrado Estampilha,"Rua Gaspar Viana n 98, Belém, Pará, Brasil",Cidade Velha/Campina,"Revestimento de fachada, assentados por compressão contra argamassa fresca.",13.4,13.4,-1.4465048,-48.4949554
Azulejo-PE 1-1-2,Lisboa/Portugal,"Viúva Lamego-Constância (Consta do Catalogo de J. Lino de 1889). 
Apelido: Ferradura","13,2 x 13,2cm",Cerâmica e vidrado Estampilha,"Travessa 7 de Setembro n 104, Belém, Pará, Brasil",Campina/Reduto,"Revestimento de fachada, assentados por compressão contra argamassa fresca.",13.2,13.2,-1.5090641,-48.6223582
Azulejo-PE 1-1-2,Lisboa/Portugal,"Viúva Lamego-Constância (Consta do Catalogo de J. Lino de 1889). 
Apelido: Ferradura","13,2 x 13,2cm",Cerâmica e vidrado Estampilha,"Travessa Rui Barbosa n 845, Belém, Pará, Brasil",Campina/Reduto,"Revestimento de fachada, assentados por compressão contra argamassa fresca.",13.2,13.2,-1.4567183,-48.486724
Azulejo-PE 1-1-2,Lisboa/Portugal,"Viúva Lamego-Constância (Consta do Catalogo de J. Lino de 1889). 
Apelido: Ferradura","13,2 x 13,2cm",Cerâmica e vidrado Estampilha,"Rua Senador Manoel Barata n 377, Belém, Pará, Brasil",Campina/Reduto,"Revestimento de fachada, assentados por compressão contra argamassa fresca.",13.2,13.2,-1.4450958,-48.4902637
Azulejo-PE 1-1-2,Lisboa/Portugal,"Viúva Lamego-Constância (Consta do Catalogo de J. Lino de 1889). 
Apelido: Ferradura","13,2 x 13,2cm",Cerâmica e vidrado Estampilha,"Rua Caetano Rufino n 62, Belém, Pará, Brasil",Campina/Reduto,"Revestimento de fachada, assentados por compressão contra argamassa fresca.",13.2,13.2,-1.4551936,-48.4943491
Azulejo-PE 1-3-3,Porto e/ou Lisboa/Portugal,Viúva Lamego. Apelido: Ferradura,"13,4 x 13,4cm",Cerâmica e vidrado Estampilha,"Travessa Frutuoso Guimarães n 371, Belém, Pará, Brasil","Cidade Velha/Campina/Reduto/
Batista Campos","Revestimento de fachada, assentados por compressão contra argamassa fresca.",13.4,13.4,-1.4510368,-48.5010789
Azulejo-PE 1-3-3,Porto e/ou Lisboa/Portugal,Viúva Lamego. Apelido: Ferradura,"13,4 x 13,4cm",Cerâmica e vidrado Estampilha,"Rua General Gurjão n 285, Belém, Pará, Brasil","Cidade Velha/Campina/Reduto/
Batista Campos","Revestimento de fachada, assentados por compressão contra argamassa fresca.",13.4,13.4,-1.4538014,-48.4966004
Azulejo-PE 1-3-3,Porto e/ou Lisboa/Portugal,Viúva Lamego. Apelido: Ferradura,"13,4 x 13,4cm",Cerâmica e vidrado Estampilha,"Travessa 7 de Setembro n 164, Belém, Pará, Brasil","Cidade Velha/Campina/Reduto/
Batista Campos","Revestimento de fachada, assentados por compressão contra argamassa fresca.",13.4,13.4,-1.5090641,-48.6223582
Azulejo-PE 1-3-3,Porto e/ou Lisboa/Portugal,Viúva Lamego. Apelido: Ferradura,"13,4 x 13,4cm",Cerâmica e vidrado Estampilha,"Travessa 7 de Setembro n 168, Belém, Pará, Brasil","Cidade Velha/Campina/Reduto/
Batista Campos","Revestimento de fachada, assentados por compressão contra argamassa fresca.",13.4,13.4,-1.5090641,-48.6223582
Azulejo-PE 1-3-3,Porto e/ou Lisboa/Portugal,Viúva Lamego. Apelido: Ferradura,"13,4 x 13,4cm",Cerâmica e vidrado Estampilha,"Travessa 7 de Setembro n 170, Belém, Pará, Brasil","Cidade Velha/Campina/Reduto/
Batista Campos","Revestimento de fachada, assentados por compressão contra argamassa fresca.",13.4,13.4,-1.5090641,-48.6223582
Azulejo-PE 1-3-3,Porto e/ou Lisboa/Portugal,Viúva Lamego. Apelido: Ferradura,"13,4 x 13,4cm",Cerâmica e vidrado Estampilha,"Rua Conselheiro João Alfredo n 284, Belém, Pará, Brasil","Cidade Velha/Campina/Reduto/
Batista Campos","Revestimento de fachada, assentados por compressão contra argamassa fresca.",13.4,13.4,-1.4540567,-48.5031455
Azulejo-PE 1-3-3,Porto e/ou Lisboa/Portugal,Viúva Lamego. Apelido: Ferradura,"13,4 x 13,4cm",Cerâmica e vidrado Estampilha,"Travessa Gurupá n 266, Belém, Pará, Brasil","Cidade Velha/Campina/Reduto/
Batista Campos","Revestimento de fachada, assentados por compressão contra argamassa fresca.",13.4,13.4,-1.4596774,-48.5024191
Azulejo-PE 1-3-3,Porto e/ou Lisboa/Portugal,Viúva Lamego. Apelido: Ferradura,"13,4 x 13,4cm",Cerâmica e vidrado Estampilha,"Travessa Alenquer n 114, Belém, Pará, Brasil","Cidade Velha/Campina/Reduto/
Batista Campos","Revestimento de fachada, assentados por compressão contra argamassa fresca.",13.4,13.4,-1.4604903,-48.5047975
Azulejo-PE 1-3-3,Porto e/ou Lisboa/Portugal,Viúva Lamego. Apelido: Ferradura,"13,4 x 13,4cm",Cerâmica e vidrado Estampilha,"Travessa Quintino Bocaiúva n 946, Belém, Pará, Brasil","Cidade Velha/Campina/Reduto/
Batista Campos","Revestimento de fachada, assentados por compressão contra argamassa fresca.",13.4,13.4,-0.7490741,-48.0223579
Azulejo-PE 1-3-3,Porto e/ou Lisboa/Portugal,Viúva Lamego. Apelido: Ferradura,"13,4 x 13,4cm",Cerâmica e vidrado Estampilha,"Travessa Quintino Bocaiúva n 932, Belém, Pará, Brasil","Cidade Velha/Campina/Reduto/
Batista Campos","Revestimento de fachada, assentados por compressão contra argamassa fresca.",13.4,13.4,-0.7490741,-48.0223579
Azulejo-PE 1-3-3,Porto e/ou Lisboa/Portugal,Viúva Lamego. Apelido: Ferradura,"13,4 x 13,4cm",Cerâmica e vidrado Estampilha,"Travessa Rui Barbosa n 355, Belém, Pará, Brasil","Cidade Velha/Campina/Reduto/
Batista Campos","Revestimento de fachada, assentados por compressão contra argamassa fresca.",13.4,13.4,-1.9615324,-48.1932456
Azulejo-PE 1-3-3,Porto e/ou Lisboa/Portugal,Viúva Lamego. Apelido: Ferradura,"13,4 x 13,4cm",Cerâmica e vidrado Estampilha,"Rua Veiga Cabral n 1338, Belém, Pará, Brasil","Cidade Velha/Campina/Reduto/
Batista Campos","Revestimento de fachada, assentados por compressão contra argamassa fresca.",13.4,13.4,-2.0051896,-49.8569815
Azulejo-PE 1-3-3,Porto e/ou Lisboa/Portugal,Viúva Lamego. Apelido: Ferradura,"13,4 x 13,4cm",Cerâmica e vidrado Estampilha,"Rua Ó de Almeida n 387, Belém, Pará, Brasil","Cidade Velha/Campina/Reduto/
Batista Campos","Revestimento de fachada, assentados por compressão contra argamassa fresca.",13.4,13.4,-1.1386998,-48.448846
Azulejo-PE 1-3-3,Porto e/ou Lisboa/Portugal,Viúva Lamego. Apelido: Ferradura,"13,4 x 13,4cm",Cerâmica e vidrado Estampilha,"Rua Senador Manoel Barata n 77, Belém, Pará, Brasil","Cidade Velha/Campina/Reduto/
Batista Campos","Revestimento de fachada, assentados por compressão contra argamassa fresca.",13.4,13.4,-1.4450958,-48.4902637
Azulejo-PE 1-3-3,Porto e/ou Lisboa/Portugal,Viúva Lamego. Apelido: Ferradura,"13,4 x 13,4cm",Cerâmica e vidrado Estampilha,"Rua Senador Manoel Barata n 114, Belém, Pará, Brasil","Cidade Velha/Campina/Reduto/
Batista Campos","Revestimento de fachada, assentados por compressão contra argamassa fresca.",13.4,13.4,-1.4450958,-48.4902637
Azulejo-PE 1-3-3,Porto e/ou Lisboa/Portugal,Viúva Lamego. Apelido: Ferradura,"13,4 x 13,4cm",Cerâmica e vidrado Estampilha,"Rua Senador Manoel Barata n 118, Belém, Pará, Brasil","Cidade Velha/Campina/Reduto/
Batista Campos","Revestimento de fachada, assentados por compressão contra argamassa fresca.",13.4,13.4,-1.4450958,-48.4902637
Azulejo-PE 1-3-3,Porto e/ou Lisboa/Portugal,Viúva Lamego. Apelido: Ferradura,"13,4 x 13,4cm",Cerâmica e vidrado Estampilha,"Travessa Piedade n 337, Belém, Pará, Brasil","Cidade Velha/Campina/Reduto/
Batista Campos","Revestimento de fachada, assentados por compressão contra argamassa fresca.",13.4,13.4,-1.4461791,-48.4962299
Azulejo-PE 1-3-3,Porto e/ou Lisboa/Portugal,Viúva Lamego. Apelido: Ferradura,"13,4 x 13,4cm",Cerâmica e vidrado Estampilha,"Travessa Presidente Pernambuco n 204, Belém, Pará, Brasil","Cidade Velha/Campina/Reduto/
Batista Campos","Revestimento de fachada, assentados por compressão contra argamassa fresca.",13.4,13.4,-1.4594248,-48.4902092
Azulejo-PE 1-3-3,Porto e/ou Lisboa/Portugal,Viúva Lamego. Apelido: Ferradura,"13,4 x 13,4cm",Cerâmica e vidrado Estampilha,"Avenida 16 de Novembro n 79, Belém, Pará, Brasil","Cidade Velha/Campina/Reduto/
Batista Campos","Revestimento de fachada, assentados por compressão contra argamassa fresca.",13.4,13.4,-1.1220148,-48.3928996
Azulejo-PE 1-3-3,Porto e/ou Lisboa/Portugal,Viúva Lamego. Apelido: Ferradura,"13,4 x 13,4cm",Cerâmica e vidrado Estampilha,"Rua Rodrigues Santos n 257, Belém, Pará, Brasil","Cidade Velha/Campina/Reduto/
Batista Campos","Revestimento de fachada, assentados por compressão contra argamassa fresca.",13.4,13.4,-1.4590123,-48.5024386
Azulejo-PE 1-3-3,Porto e/ou Lisboa/Portugal,Viúva Lamego. Apelido: Ferradura,"13,4 x 13,4cm",Cerâmica e vidrado Estampilha,"Rua Cametá n 94, Belém, Pará, Brasil","Cidade Velha/Campina/Reduto/
Batista Campos","Revestimento de fachada, assentados por compressão contra argamassa fresca.",13.4,13.4,-1.4590114,-48.5032951
Azulejo-PE 1-3-3,Porto e/ou Lisboa/Portugal,Viúva Lamego. Apelido: Ferradura,"13,4 x 13,4cm",Cerâmica e vidrado Estampilha,"Travessa Padre Eutiquio n 555, Belém, Pará, Brasil","Cidade Velha/Campina/Reduto/
Batista Campos","Revestimento de fachada, assentados por compressão contra argamassa fresca.",13.4,13.4,-1.4693734,-48.4791116
Azulejo-PE 1-3-3,Porto e/ou Lisboa/Portugal,Viúva Lamego. Apelido: Ferradura,"13,4 x 13,4cm",Cerâmica e vidrado Estampilha,"Travessa Campos Sales n 679, Belém, Pará, Brasil","Cidade Velha/Campina/Reduto/
Batista Campos","Revestimento de fachada, assentados por compressão contra argamassa fresca.",13.4,13.4,-1.4543075,-48.4978101
Azulejo-PE 1-3-3,Porto e/ou Lisboa/Portugal,Viúva Lamego. Apelido: Ferradura,"13,4 x 13,4cm",Cerâmica e vidrado Estampilha,"Rua Gaspar Viana n 226, Belém, Pará, Brasil","Cidade Velha/Campina/Reduto/
Batista Campos","Revestimento de fachada, assentados por compressão contra argamassa fresca.",13.4,13.4,-1.4465048,-48.4949554
Azulejo-PE 1-3-3,Porto e/ou Lisboa/Portugal,Viúva Lamego. Apelido: Ferradura,"13,4 x 13,4cm",Cerâmica e vidrado Estampilha,"Rua Gaspar Viana n 228, Belém, Pará, Brasil","Cidade Velha/Campina/Reduto/
Batista Campos","Revestimento de fachada, assentados por compressão contra argamassa fresca.",13.4,13.4,-1.4465048,-48.4949554
Azulejo-PE 1-3-3,Porto e/ou Lisboa/Portugal,Viúva Lamego. Apelido: Ferradura,"13,4 x 13,4cm",Cerâmica e vidrado Estampilha,"Rua 15 de Novembro n 29, Belém, Pará, Brasil","Cidade Velha/Campina/Reduto/
Batista Campos","Revestimento de fachada, assentados por compressão contra argamassa fresca.",13.4,13.4,-1.1615771,-48.4688459
Azulejo-PE 1-3-3,Porto e/ou Lisboa/Portugal,Viúva Lamego. Apelido: Ferradura,"13,4 x 13,4cm",Cerâmica e vidrado Estampilha,"Rua 15 de Novembro n 31, Belém, Pará, Brasil","Cidade Velha/Campina/Reduto/
Batista Campos","Revestimento de fachada, assentados por compressão contra argamassa fresca.",13.4,13.4,-1.1615771,-48.4688459
Azulejo-PE 1-3-3,Porto e/ou Lisboa/Portugal,Viúva Lamego. Apelido: Ferradura,"13,4 x 13,4cm",Cerâmica e vidrado Estampilha,"Praça Barão do Guajará n 53, Belém, Pará, Brasil","Cidade Velha/Campina/Reduto/
Batista Campos","Revestimento de fachada, assentados por compressão contra argamassa fresca.",13.4,13.4,-1.4508994,-48.4996795
Azulejo-PE 1-3-3,Porto e/ou Lisboa/Portugal,Viúva Lamego. Apelido: Ferradura,"13,4 x 13,4cm",Cerâmica e vidrado Estampilha,"Rua 13 de Maio n 28, Belém, Pará, Brasil","Cidade Velha/Campina/Reduto/
Batista Campos","Revestimento de fachada, assentados por compressão contra argamassa fresca.",13.4,13.4,-1.4530688,-48.5007704
Azulejo-PE 1-3-3,Porto e/ou Lisboa/Portugal,Viúva Lamego. Apelido: Ferradura,"13,4 x 13,4cm",Cerâmica e vidrado Estampilha,"Rua 13 de Maio n 32, Belém, Pará, Brasil","Cidade Velha/Campina/Reduto/
Batista Campos","Revestimento de fachada, assentados por compressão contra argamassa fresca.",13.4,13.4,-1.4530688,-48.5007704
Azulejo-PE 1-3-3,Porto e/ou Lisboa/Portugal,Viúva Lamego. Apelido: Ferradura,"13,4 x 13,4cm",Cerâmica e vidrado Estampilha,"Rua 28 de Setembro n 42, Belém, Pará, Brasil","Cidade Velha/Campina/Reduto/
Batista Campos","Revestimento de fachada, assentados por compressão contra argamassa fresca.",13.4,13.4,-1.450574,-48.4982834
Azulejo-PE 1-3-3,Porto e/ou Lisboa/Portugal,Viúva Lamego. Apelido: Ferradura,"13,4 x 13,4cm",Cerâmica e vidrado Estampilha,"Rua 28 de Setembro n 56, Belém, Pará, Brasil","Cidade Velha/Campina/Reduto/
Batista Campos","Revestimento de fachada, assentados por compressão contra argamassa fresca.",13.4,13.4,-1.450574,-48.4982834
Azulejo-PE 1-3-3,Porto e/ou Lisboa/Portugal,Viúva Lamego. Apelido: Ferradura,"13,4 x 13,4cm",Cerâmica e vidrado Estampilha,"Rua Boaventura n 39, Belém, Pará, Brasil","Cidade Velha/Campina/Reduto/
Batista Campos","Revestimento de fachada, assentados por compressão contra argamassa fresca.",13.4,13.4,-1.3240096,-48.3751135
Azulejo-PE 1-3-3,Porto e/ou Lisboa/Portugal,Viúva Lamego. Apelido: Ferradura,"13,4 x 13,4cm",Cerâmica e vidrado Estampilha,"Travessa Padre Eutiquio n 1329, Belém, Pará, Brasil","Cidade Velha/Campina/Reduto/
Batista Campos","Revestimento de fachada, assentados por compressão contra argamassa fresca.",13.4,13.4,-1.4693734,-48.4791116
Azulejo-PE 1-3-3,Porto e/ou Lisboa/Portugal,Viúva Lamego. Apelido: Ferradura,"13,4 x 13,4cm",Cerâmica e vidrado Estampilha,"Travessa Padre Eutiquio n 719, Belém, Pará, Brasil","Cidade Velha/Campina/Reduto/
Batista Campos","Revestimento de fachada, assentados por compressão contra argamassa fresca.",13.4,13.4,-1.4693734,-48.4791116
Azulejo-PE 1-3-3,Porto e/ou Lisboa/Portugal,Viúva Lamego. Apelido: Ferradura,"13,4 x 13,4cm",Cerâmica e vidrado Estampilha,"Travessa 7 de Setembro n 319, Belém, Pará, Brasil","Cidade Velha/Campina/Reduto/
Batista Campos","Revestimento de fachada, assentados por compressão contra argamassa fresca.",13.4,13.4,-1.5090641,-48.6223582
Azulejo-PE 1-4-1,Porto e/ou Lisboa/Portugal,"Viúva Lamego-Constância (Consta do Catalogo de J. Lino de 1889). 
Apelido: Ferradura","13,4 x 13,4cm",Cerâmica e vidrado Estampilha,"Travessa Gurupá n 266, Belém, Pará, Brasil",Cidade Velha,"Revestimento de fachada, assentados por compressão contra argamassa fresca.",13.4,13.4,-1.4596774,-48.5024191
Azulejo-PE 1-4-1,Porto e/ou Lisboa/Portugal,"Viúva Lamego-Constância (Consta do Catalogo de J. Lino de 1889). 
Apelido: Ferradura","13,4 x 13,4cm",Cerâmica e vidrado Estampilha,"Av Conselheiro Furtado n 406, Belém, Pará, Brasil",Cidade Velha,"Revestimento de fachada, assentados por compressão contra argamassa fresca.",13.4,13.4,-1.4564462,-48.4809709
Azulejo-PE 2-1-1,Lisboa/Portugal,Provavelmente da Fábrica Constância (Consta do Catalogo de J. Lino de 1889),13 x 13cm,Cerâmica e vidrado Estampilha,"Travessa Leão XIII n 52, Belém, Pará, Brasil","Cidade Velha/
Campina/Reduto/
Nazaré","Revestimento de fachada, assentados por compressão contra argamassa fresca.",13,13,-1.4504333,-48.4997208
Azulejo-PE 2-1-1,Lisboa/Portugal,Provavelmente da Fábrica Constância (Consta do Catalogo de J. Lino de 1889),13 x 13cm,Cerâmica e vidrado Estampilha,"Rua 13 de Maio n 510, Belém, Pará, Brasil","Cidade Velha/
Campina/Reduto/
Nazaré","Revestimento de fachada, assentados por compressão contra argamassa fresca.",13,13,-1.3581782,-48.2514077
Azulejo-PE 2-1-1,Lisboa/Portugal,Provavelmente da Fábrica Constância (Consta do Catalogo de J. Lino de 1889),13 x 13cm,Cerâmica e vidrado Estampilha,"Rua 13 de Maio n 512, Belém, Pará, Brasil","Cidade Velha/
Campina/Reduto/
Nazaré","Revestimento de fachada, assentados por compressão contra argamassa fresca.",13,13,-1.4530688,-48.5007704
Azulejo-PE 2-1-1,Lisboa/Portugal,Provavelmente da Fábrica Constância (Consta do Catalogo de J. Lino de 1889),13 x 13cm,Cerâmica e vidrado Estampilha,"Rua 13 de Maio n 514, Belém, Pará, Brasil","Cidade Velha/
Campina/Reduto/
Nazaré","Revestimento de fachada, assentados por compressão contra argamassa fresca.",13,13,-1.4530688,-48.5007704
Azulejo-PE 2-1-1,Lisboa/Portugal,Provavelmente da Fábrica Constância (Consta do Catalogo de J. Lino de 1889),13 x 13cm,Cerâmica e vidrado Estampilha,"Travessa Frutuoso Guimarães n 329, Belém, Pará, Brasil","Cidade Velha/
Campina/Reduto/
Nazaré","Revestimento de fachada, assentados por compressão contra argamassa fresca.",13,13,-1.4522710146475735,-48.50024294814875
Azulejo-PE 2-1-1,Lisboa/Portugal,Provavelmente da Fábrica Constância (Consta do Catalogo de J. Lino de 1889),13 x 13cm,Cerâmica e vidrado Estampilha,"Travessa Frutuoso Guimarães n 482, Belém, Pará, Brasil","Cidade Velha/
Campina/Reduto/
Nazaré","Revestimento de fachada, assentados por compressão contra argamassa fresca.",13,13,-1.4510368,-48.5010789
Azulejo-PE 2-1-1,Lisboa/Portugal,Provavelmente da Fábrica Constância (Consta do Catalogo de J. Lino de 1889),13 x 13cm,Cerâmica e vidrado Estampilha,"Rua Santo Antônio n 14, Belém, Pará, Brasil","Cidade Velha/
Campina/Reduto/
Nazaré","Revestimento de fachada, assentados por compressão contra argamassa fresca.",13,13,-1.3740364,-48.4321573
